id,x_m,y_m,observed,xray_detected,max_visible_pixels,max_xray_pixels,max_visible_fraction
Othonna_001,-28.5,30.5,False,False,0,0,0.000000
Othonna_002,-8.5,-18.5,False,False,0,0,0.000000
Othonna_003,29.5,26.5,False,False,0,0,0.000000
