11:31:19:003 [INFO] Connecting to simulation server at 127.0.0.1
11:31:19:011 [INFO] Connection opened.
11:31:19:012 [INFO] Started the pub-sub topic receiving thread.
11:31:19:012 [INFO] Loading scene config: scene_basic_drone.jsonc
11:31:19:712 [INFO] Getting the list of available topic info from the sim server...
11:31:19:722 [INFO] Successfully received topic info list.
11:31:21:723 [INFO] World object updated for the loaded scene '/Sim/SceneBasicDrone'. Note: Any previous Drone object instances may no longer be valid.
11:31:21:725 [INFO] Trajectory 'null_trajectory' imported successfully.
11:31:21:725 [INFO] Initalizing Drone 'Drone1'...
11:31:21:725 [INFO] -------------------------------------------------
11:31:21:725 [INFO] The following topics can be subscribed to for robot 'Drone1':
11:31:21:726 [INFO]     sensors["Chase"]["scene_camera"]
11:31:21:726 [INFO]     sensors["Chase"]["scene_camera_info"]
11:31:21:726 [INFO]     sensors["DownCamera"]["scene_camera"]
11:31:21:726 [INFO]     sensors["DownCamera"]["scene_camera_info"]
11:31:21:726 [INFO]     sensors["DownCamera"]["depth_camera"]
11:31:21:726 [INFO]     sensors["DownCamera"]["depth_camera_info"]
11:31:21:726 [INFO]     sensors["DownCamera"]["segmentation_camera"]
11:31:21:727 [INFO]     sensors["DownCamera"]["segmentation_camera_info"]
11:31:21:727 [INFO]     sensors["IMU1"]["imu_kinematics"]
11:31:21:727 [INFO]     sensors["GPS"]["gps"]
11:31:21:727 [INFO]     sensors["Barometer"]["barometer"]
11:31:21:727 [INFO]     sensors["Magnetometer"]["magnetometer"]
11:31:21:727 [INFO]     robot_info["actual_pose"]
11:31:21:728 [INFO]     robot_info["collision_info"]
11:31:21:728 [INFO]     robot_info["rotor_info"]
11:31:21:728 [INFO] -------------------------------------------------
11:31:21:728 [INFO] Drone 'Drone1' initialized for World scene '/Sim/SceneBasicDrone'
11:31:21:733 [INFO] Loaded 30 plant targets
11:31:21:734 [INFO] Resetting scene segmentation IDs to 0
11:31:21:844 [INFO] Segmentation: Othonna_001 -> ID 1 | found=True
11:31:21:847 [INFO] Segmentation: Othonna_002 -> ID 2 | found=True
11:31:21:849 [INFO] Segmentation: Othonna_003 -> ID 3 | found=True
11:31:21:851 [INFO] Segmentation: Othonna_004 -> ID 4 | found=True
11:31:21:853 [INFO] Segmentation: Othonna_005 -> ID 5 | found=True
11:31:21:855 [INFO] Segmentation: Othonna_006 -> ID 6 | found=True
11:31:21:858 [INFO] Segmentation: Othonna_007 -> ID 7 | found=True
11:31:21:861 [INFO] Segmentation: Othonna_008 -> ID 8 | found=True
11:31:21:864 [INFO] Segmentation: Othonna_009 -> ID 9 | found=True
11:31:21:866 [INFO] Segmentation: Othonna_010 -> ID 10 | found=True
11:31:21:867 [INFO] Segmentation: Othonna_011 -> ID 11 | found=True
11:31:21:870 [INFO] Segmentation: Othonna_012 -> ID 12 | found=True
11:31:21:871 [INFO] Segmentation: Othonna_013 -> ID 13 | found=True
11:31:21:874 [INFO] Segmentation: Othonna_014 -> ID 14 | found=True
11:31:21:878 [INFO] Segmentation: Othonna_015 -> ID 15 | found=True
11:31:21:880 [INFO] Segmentation: Othonna_016 -> ID 16 | found=True
11:31:21:882 [INFO] Segmentation: Othonna_017 -> ID 17 | found=True
11:31:21:884 [INFO] Segmentation: Othonna_018 -> ID 18 | found=True
11:31:21:886 [INFO] Segmentation: Othonna_019 -> ID 19 | found=True
11:31:21:889 [INFO] Segmentation: Othonna_020 -> ID 20 | found=True
11:31:21:891 [INFO] Segmentation: Othonna_021 -> ID 21 | found=True
11:31:21:894 [INFO] Segmentation: Othonna_022 -> ID 22 | found=True
11:31:21:898 [INFO] Segmentation: Othonna_023 -> ID 23 | found=True
11:31:21:901 [INFO] Segmentation: Othonna_024 -> ID 24 | found=True
11:31:21:909 [INFO] Segmentation: Othonna_025 -> ID 25 | found=True
11:31:21:915 [INFO] Segmentation: Othonna_026 -> ID 26 | found=True
11:31:21:918 [INFO] Segmentation: Othonna_027 -> ID 27 | found=True
11:31:21:938 [INFO] Segmentation: Othonna_028 -> ID 28 | found=True
11:31:21:940 [INFO] Segmentation: Othonna_029 -> ID 29 | found=True
11:31:21:943 [INFO] Segmentation: Othonna_030 -> ID 30 | found=True
11:31:21:944 [INFO] Taking off
11:31:24:969 [INFO] Climbing vertically to 30.0 m before horizontal flight
11:31:28:119 [INFO] Reached flight altitude 30.0 m
11:31:28:120 [INFO] Flying to Othonna_001 at X=249.109, Y=302.953
11:32:21:851 [INFO] Settling Othonna_001 | actual=(248.949234, 302.648407, -30.477510) | horizontal error=0.344 m vertical error=0.478 m | good samples=0/3
11:32:22:132 [INFO] Settling Othonna_001 | actual=(248.945648, 302.602905, -30.474911) | horizontal error=0.386 m vertical error=0.475 m | good samples=0/3
11:32:22:243 [INFO] Settling Othonna_001 | actual=(248.950974, 302.590485, -30.474602) | horizontal error=0.395 m vertical error=0.475 m | good samples=0/3
11:32:22:354 [INFO] Settling Othonna_001 | actual=(248.959717, 302.580750, -30.474606) | horizontal error=0.401 m vertical error=0.475 m | good samples=0/3
11:32:22:624 [INFO] Settling Othonna_001 | actual=(248.992569, 302.567169, -30.475590) | horizontal error=0.403 m vertical error=0.476 m | good samples=0/3
11:32:22:727 [INFO] Settling Othonna_001 | actual=(249.008759, 302.565277, -30.476238) | horizontal error=0.400 m vertical error=0.476 m | good samples=0/3
11:32:22:835 [INFO] Settling Othonna_001 | actual=(249.027603, 302.565033, -30.477037) | horizontal error=0.396 m vertical error=0.477 m | good samples=0/3
11:32:23:120 [INFO] Settling Othonna_001 | actual=(249.082642, 302.572845, -30.479496) | horizontal error=0.381 m vertical error=0.479 m | good samples=0/3
11:32:23:227 [INFO] Settling Othonna_001 | actual=(249.104523, 302.578705, -30.480497) | horizontal error=0.374 m vertical error=0.480 m | good samples=0/3
11:32:23:336 [INFO] Settling Othonna_001 | actual=(249.127991, 302.586578, -30.481556) | horizontal error=0.367 m vertical error=0.482 m | good samples=0/3
11:32:23:634 [INFO] Settling Othonna_001 | actual=(249.189621, 302.615479, -30.484251) | horizontal error=0.347 m vertical error=0.484 m | good samples=0/3
11:32:23:740 [INFO] Settling Othonna_001 | actual=(249.210724, 302.628601, -30.485147) | horizontal error=0.340 m vertical error=0.485 m | good samples=0/3
11:32:23:849 [INFO] Settling Othonna_001 | actual=(249.231613, 302.643463, -30.486029) | horizontal error=0.333 m vertical error=0.486 m | good samples=0/3
11:32:24:149 [WARNING] Othonna_001 did not settle within 0.20 m after 3.0 s | last horizontal error=0.333 m vertical error=0.486 m; starting correction 2/5 at 1.0 m/s
11:32:24:149 [INFO] Positioning Othonna_001: attempt 3/6 at 1.0 m/s | target NED=(249.109000, 302.953000, -30.000000)
11:32:24:152 [INFO] Controller reports move complete for Othonna_001; watching position for up to 3.0 s
11:32:24:152 [INFO] Settling Othonna_001 | actual=(249.283722, 302.691681, -30.488167) | horizontal error=0.314 m vertical error=0.488 m | good samples=0/3
11:32:24:255 [INFO] Settling Othonna_001 | actual=(249.299011, 302.710236, -30.488798) | horizontal error=0.308 m vertical error=0.489 m | good samples=0/3
11:32:24:364 [INFO] Settling Othonna_001 | actual=(249.313629, 302.730927, -30.489412) | horizontal error=0.302 m vertical error=0.489 m | good samples=0/3
11:32:24:663 [INFO] Settling Othonna_001 | actual=(249.344696, 302.792236, -30.490805) | horizontal error=0.285 m vertical error=0.491 m | good samples=0/3
11:32:24:772 [INFO] Settling Othonna_001 | actual=(249.352203, 302.815033, -30.491205) | horizontal error=0.280 m vertical error=0.491 m | good samples=0/3
11:32:24:880 [INFO] Settling Othonna_001 | actual=(249.357956, 302.839203, -30.491573) | horizontal error=0.274 m vertical error=0.492 m | good samples=0/3
11:32:25:165 [INFO] Settling Othonna_001 | actual=(249.363205, 302.902985, -30.492376) | horizontal error=0.259 m vertical error=0.492 m | good samples=0/3
11:32:25:271 [INFO] Settling Othonna_001 | actual=(249.361450, 302.926483, -30.492624) | horizontal error=0.254 m vertical error=0.493 m | good samples=0/3
11:32:25:380 [INFO] Settling Othonna_001 | actual=(249.357758, 302.949982, -30.492825) | horizontal error=0.249 m vertical error=0.493 m | good samples=0/3
11:32:25:675 [INFO] Settling Othonna_001 | actual=(249.337296, 303.013092, -30.493317) | horizontal error=0.236 m vertical error=0.493 m | good samples=0/3
11:32:25:785 [INFO] Settling Othonna_001 | actual=(249.326157, 303.034912, -30.493454) | horizontal error=0.232 m vertical error=0.493 m | good samples=0/3
11:32:25:895 [INFO] Settling Othonna_001 | actual=(249.313217, 303.055695, -30.493591) | horizontal error=0.229 m vertical error=0.494 m | good samples=0/3
11:32:26:168 [INFO] Settling Othonna_001 | actual=(249.273575, 303.102325, -30.493891) | horizontal error=0.222 m vertical error=0.494 m | good samples=0/3
